Ticker,Current Price,Market Cap,P/E Ratio,Dividend Yield,Yahoo Rating,Market Index Rating
CLU.AX,0.08299999684095383,29284390,,,,
CEH.AX,0.41999998688697815,167081456,,,,
COB.AX,0.05299999937415123,24021296,,,,
CBO.AX,3.3399999141693115,1399272960,30.363636,0.99,,
CBE.AX,0.061000000685453415,27933548,,,,
COH.AX,298.8800048828125,19611817984,50.231934,1.44,,
COD.AX,0.12999999523162842,34993660,,,,
CDA.AX,31.010000228881836,5652347904,54.40351,1.03,,
CDE.AX,0.013000000268220901,8625864,,,,
CDR.AX,0.02199999988079071,4961616,,,,
COG.AX,2.0,403676000,22.222221,3.0,,
CGS.AX,1.7699999809265137,301036288,19.666666,1.13,,
CKA.AX,0.028999999165534973,31289550,,,,
COL.AX,23.84000015258789,31976828928,29.432098,2.89,,
CKF.AX,10.430000305175781,1247459328,149.0,2.49,,
COI.AX,0.11999999731779099,143572800,,,,
CBA.AX,166.0800018310547,281271435264,27.451239,2.92,,
CCG.AX,0.05999999865889549,32015638,,8.26,,
CF1.AX,0.02199999988079071,13585769,,,,
CMP.AX,0.30000001192092896,60548700,,,,
CPU.AX,36.15999984741211,21215254528,23.031847,2.65,,
CND.AX,0.024000000208616257,17201232,,,,
CNJ.AX,0.004999999888241291,1360729,,,,
CML.AX,0.11999999731779099,8159652,,,,
CXZ.AX,0.026000000536441803,20832942,Infinity,,,
CRD.AX,0.75,166043264,,,,
CR1.AX,0.12999999523162842,10451272,,,,
CT1.AX,0.001500000013038516,1966310,Infinity,,,
CEN.AX,8.220000267028809,8098960896,22.216217,4.08,,
CBL.AX,0.03500000014901161,10790465,,,,
CPM.AX,0.052000001072883606,4231203,,,,
COY.AX,0.014000000432133675,12357199,,,,
CZN.AX,0.0024999999441206455,2962980,,,,
CR3.AX,0.012000000104308128,5035272,,,,
CXO.AX,0.10499999672174454,254213392,,,,
CR9.AX,0.004000000189989805,4030280,,,,
CRN.AX,0.36000001430511475,6642000384,,2.96,,
CTD.AX,16.06999969482422,2351458816,36.522728,1.37,,
CMO.AX,0.01899999938905239,7531980,,,,
C1X.AX,0.07999999821186066,8677360,,,,
COS.AX,0.6000000238418579,112833008,15.000001,3.89,,
CUP.AX,1.0800000429153442,179894512,21.6,4.17,,
CYG.AX,0.699999988079071,84100096,,5.36,,
CGO.AX,0.07000000029802322,2974713,,,,
CCR.AX,0.24500000476837158,104039008,24.500002,,,
CCP.AX,16.440000534057617,1119702144,12.0,4.38,,
CI1.AX,0.10999999940395355,9684972,,,,
CRI.AX,0.023000000044703484,64756272,,,,
CMG.AX,0.16500000655651093,14939827,,,,
CRR.AX,0.00800000037997961,24930800,,,,
CMW.AX,0.4749999940395355,1243963264,,6.32,,
CTE.AX,0.8600000143051147,41976256,21.5,9.88,,
CSL.AX,209.94000244140625,103484669952,22.310308,2.17,,
CLX.AX,1.8799999952316284,148354928,10.444444,5.85,,
CUE.AX,0.11499999463558197,83973480,12.0,12.5,,
CUF.AX,0.013000000268220901,17505410,,,,
CUL.AX,0.007000000216066837,4853814,,,,
CPO.AX,0.013000000268220901,6768606,,,,
CVB.AX,0.12999999523162842,51432680,,,,
CCL.AX,3.799999952316284,727935616,25.333332,2.89,,
CVC.AX,2.0,233272000,Infinity,,,
CYQ.AX,0.006000000052154064,2763102,,,,
CLE.AX,0.06499999761581421,71800952,,,,
CYC.AX,0.8500000238418579,97800152,,,,
CY5.AX,0.09200000017881393,97926640,,,,
CYP.AX,0.1899999976158142,47490880,,,,
CYM.AX,0.029999999329447746,77389800,,,,
CZR.AX,0.2750000059604645,65775600,,,,
D3E.AX,0.4000000059604645,48318000,,,,
DAL.AX,0.05900000035762787,17390368,,,,
DBI.AX,4.349999904632568,2191264512,25.588234,5.4,,
DTM.AX,0.0024999999441206455,2749060,,,,
DTL.AX,9.430000305175781,1462385536,30.419355,2.98,,
DDT.AX,0.004000000189989805,4843800,Infinity,,,
DWG.AX,0.06499999761581421,6644560,,,,
DTR.AX,0.24500000476837158,819343744,,,,
DEM.AX,0.10999999940395355,32276090,,,,
DAI.AX,0.8050000071525574,167088224,2.596774,,,
DYL.AX,1.975000023841858,1921477504,,,,
DEL.AX,0.15000000596046448,36345900,,,,
DLI.AX,0.17000000178813934,125515584,,,,
DGH.AX,0.9800000190734863,40091800,12.250001,,,
DM1.AX,0.014999999664723873,6780960,,,,
DES.AX,0.1899999976158142,37344880,,,,
DRR.AX,4.199999809265137,2221568768,14.4827585,6.19,,
DVP.AX,3.7200000286102295,1221956736,,,,
DEV.AX,0.09099999815225601,41518932,,,,
DXS.AX,7.289999961853027,7862411264,48.6,4.94,,
DXC.AX,3.0199999809265137,418780352,10.413794,6.84,,
DXI.AX,2.819999933242798,894701440,16.588234,5.82,,
DGL.AX,0.46000000834465027,136907952,,,,
